,subspace,n_components,lambda,layer,score
0,xs,1,-0.05,31,0.0
1,xs,1,-0.01,31,0.05
2,xs,1,0.0,31,0.05
3,xs,1,0.01,31,0.0
4,xs,1,0.05,31,0.1
5,xs,2,-0.05,31,0.05
6,xs,2,-0.01,31,0.05
7,xs,2,0.0,31,0.05
8,xs,2,0.01,31,0.0
9,xs,2,0.05,31,0.1
10,xs,3,-0.05,31,0.1
11,xs,3,-0.01,31,0.05
12,xs,3,0.0,31,0.0
13,xs,3,0.01,31,0.0
14,xs,3,0.05,31,0.15
15,xs,4,-0.05,31,0.0
16,xs,4,-0.01,31,0.1
17,xs,4,0.0,31,0.0
18,xs,4,0.01,31,0.05
19,xs,4,0.05,31,0.1
20,xs,5,-0.05,31,0.0
21,xs,5,-0.01,31,0.05
22,xs,5,0.0,31,0.05
23,xs,5,0.01,31,0.05
24,xs,5,0.05,31,0.0
