,subspace,n_components,lambda,layer,score
0,xs,1,0.0,1,0.29
1,full,1,0.0,1,0.28
2,xs,1,0.0,2,0.33
3,full,1,0.0,2,0.27
4,xs,1,0.0,3,0.25
5,full,1,0.0,3,0.25
6,xs,1,0.0,4,0.27
7,full,1,0.0,4,0.28
8,xs,1,0.0,5,0.29
9,full,1,0.0,5,0.36
10,xs,1,0.0,6,0.18
11,full,1,0.0,6,0.33
12,xs,1,0.0,7,0.22
13,full,1,0.0,7,0.22
14,xs,1,0.0,8,0.24
15,full,1,0.0,8,0.23
16,xs,1,0.0,9,0.29
17,full,1,0.0,9,0.2
18,xs,1,0.0,10,0.28
19,full,1,0.0,10,0.27
20,xs,1,0.0,11,0.29
21,full,1,0.0,11,0.27
22,xs,1,0.0,12,0.23
23,full,1,0.0,12,0.28
24,xs,1,0.0,13,0.23
25,full,1,0.0,13,0.31
26,xs,1,0.0,14,0.32
27,full,1,0.0,14,0.22
28,xs,1,0.0,15,0.18
29,full,1,0.0,15,0.26
30,xs,1,0.0,16,0.47
31,full,1,0.0,16,0.25
32,xs,1,0.0,17,0.19
33,full,1,0.0,17,0.27
34,xs,1,0.0,18,0.3
35,full,1,0.0,18,0.21
36,xs,1,0.0,19,0.29
37,full,1,0.0,19,0.27
38,xs,1,0.0,20,0.13
39,full,1,0.0,20,0.28
40,xs,1,0.0,21,0.16
41,full,1,0.0,21,0.27
42,xs,1,0.0,22,0.14
43,full,1,0.0,22,0.27
44,xs,1,0.0,23,0.21
45,full,1,0.0,23,0.3
46,xs,1,0.05,1,0.29
47,full,1,0.05,1,0.31
48,xs,1,0.05,2,0.34
49,full,1,0.05,2,0.27
50,xs,1,0.05,3,0.22
51,full,1,0.05,3,0.25
52,xs,1,0.05,4,0.25
53,full,1,0.05,4,0.29
54,xs,1,0.05,5,0.27
55,full,1,0.05,5,0.32
56,xs,1,0.05,6,0.18
57,full,1,0.05,6,0.29
58,xs,1,0.05,7,0.19
59,full,1,0.05,7,0.23
60,xs,1,0.05,8,0.25
61,full,1,0.05,8,0.27
62,xs,1,0.05,9,0.27
63,full,1,0.05,9,0.21
64,xs,1,0.05,10,0.3
65,full,1,0.05,10,0.23
66,xs,1,0.05,11,0.3
67,full,1,0.05,11,0.25
68,xs,1,0.05,12,0.2
69,full,1,0.05,12,0.27
70,xs,1,0.05,13,0.23
71,full,1,0.05,13,0.29
72,xs,1,0.05,14,0.34
73,full,1,0.05,14,0.24
74,xs,1,0.05,15,0.21
75,full,1,0.05,15,0.23
76,xs,1,0.05,16,0.45
77,full,1,0.05,16,0.27
78,xs,1,0.05,17,0.2
79,full,1,0.05,17,0.25
80,xs,1,0.05,18,0.31
81,full,1,0.05,18,0.25
82,xs,1,0.05,19,0.27
83,full,1,0.05,19,0.24
84,xs,1,0.05,20,0.17
85,full,1,0.05,20,0.24
86,xs,1,0.05,21,0.15
87,full,1,0.05,21,0.26
88,xs,1,0.05,22,0.19
89,full,1,0.05,22,0.27
90,xs,1,0.05,23,0.18
91,full,1,0.05,23,0.29
92,xs,1,0.1,1,0.27
